task1,3,AIM,02/01/2019,02/01/2019
task2,3,AIM,02/01/2019,02/01/2019
task3,3,AIM,02/01/2019,02/01/2019
task4,3,AIM,02/01/2019,02/01/2019
task5,3,AIM,02/01/2019,02/01/2019
task6,3,AIM,02/01/2019,02/01/2019
task7,3,AIM,02/01/2019,02/01/2019
task8,3,AIM,02/01/2019,02/01/2019
task9,3,AIM,02/01/2019,02/01/2019
task10,3,AIM,02/01/2019,02/01/2019
task11,3,AIM,02/01/2019,02/01/2019
task12,3,AIM,02/01/2019,02/01/2019
task13,3,AIM,02/01/2019,02/01/2019
task14,3,AIM,02/01/2019,02/01/2019
task15,3,AIM,02/01/2019,02/01/2019
task16,3,AIM,02/01/2019,02/01/2019
task17,3,AIM,02/01/2019,02/01/2019
task18,3,AIM,02/01/2019,02/01/2019
task19,3,AIM,02/01/2019,02/01/2019
task20,3,AIM,02/01/2019,02/01/2019
task21,3,AIM,02/01/2019,02/01/2019
task22,3,AIM,02/01/2019,02/01/2019
task23,3,AIM,02/01/2019,02/01/2019
task24,3,AIM,02/01/2019,02/01/2019
task25,3,AIM,02/01/2019,02/01/2019
